,name,status,link,flag,abandon_date,notified_date,port,reported_by,abandon_year,notified_year
342,Alioth,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=50&p_search_id=211217142103,Sierra Leone,23 January 2007,,Seville (Spain),ITF,2007,
343,Alma,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=5&p_search_id=211217142103,"Korea, Democratic People's Republic of",17 June 2004,17 June 2005,Piraeus (Greece),ITF,2004,2005
344,Alois,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=71&p_search_id=211217142103,U.S.A,25 August 2008,1 October 2008,"Harlingen, Netherlands",Govt. of United States,2008,2008
345,Alutrans,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=69&p_search_id=211217142103,Panama,22 February 2008,5 June 2008,Safi (Morocco),ITF,2008,2008
346,Amelia Cacace,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=151&p_search_id=211217142103,Malta,4 December 2009,,Rouen,Govt. of France,2009,
347,Amiral Akdeniz,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=121&p_search_id=211217142103,Comoros,15 September 2009,3 December 2009,Istanbul,ITF,2009,2009
348,Amur,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=249&p_search_id=211217142103,Bulgaria,3 September 2016,31 September 2016,Porto Nogaro,ITF,2016,2016
349,Anka,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=131&p_search_id=211217142103,Togo,15 October 2010,,"Haifa Port, Israel",ITF,2010,
350,Arca,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=20&p_search_id=211217142103,Panama,13 March 2004,13 March 2004,Nantes St-Nazaire (France),Govt. of France,2004,2004
351,Asian Worrior,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=309&p_search_id=211217142103,St. Kitts & Nevis,5 September 2017,7 September 2017,"Songkhla, Thailand",ITF,2017,2017
352,Aspet,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=149&p_search_id=211217142103,Georgia,24 July 2009,,St. Nazaire,Govt. of France,2009,
353,Atlantica,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=10&p_search_id=211217142103,Honduras,14 October 2004,14 October 2004,"Carr (US Gulf, USA)",ITF,2004,2004
354,Avonmoor,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=348&p_search_id=211217142103,Bahrain,29 September 2017,5 December 2017,Malta,ITF,2017,2017
355,Avonmoor,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=340&p_search_id=211217142103,Bahrain,20 January 2018,28 October 2017,"Casablanca, Morocco",ITF,2018,2017
356,B Ladybug,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=209&p_search_id=211217142103,Panama,July 2013,9 October 2013,"Valetta, Malta (Anchored off Valetta currently)",ITF,2013,2013
357,BF Challenger,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=135&p_search_id=211217142103,"Korea, Republic of",2 June 2009,,"Ulsan, Korea",ITF,2009,
358,BOZDAG,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=349&p_search_id=211217142103,Malta,29 May 2018,17 May 2018,"Tallinn, Estonia",ITF,2018,2018
359,Baltic Breeze I,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=87&p_search_id=211217142103,Panama,28 May 2009,28 April 2009,"Vejle, Denmark",ITF,2009,2009
360,Baltic Wind,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=94&p_search_id=211217142103,Panama,28 May 2009,28 May 2009,"Aabenraa, Denmark",ITF,2009,2009
361,Barika,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=113&p_search_id=211217142103,Turkey,9 June 2009,,Istanbul,ITF,2009,
362,Bella,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=84&p_search_id=211217142103,St. Kitts & Nevis,16 April 2009,23 July 2009,"Yokohama, Japan",ITF,2009,2009
363,Bermuda I,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=56&p_search_id=211217142103,,2006,March 2007,Constantza (Rumania),ITF,2006,2007
364,Biladi,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=274&p_search_id=211217142103,Morocco,4 December 2011,,Sète,Govt. of France,2011,
365,Boushkin,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=115&p_search_id=211217142103,Sierra Leone,28 October 2008,30 November 2009,Istanbul,ITF,2008,2009
366,Bram,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=23&p_search_id=211217142103,Belize,20 August 2004,20 August 2004,Lagos (Nigeria),Govt. of Romania,2004,2004
367,Bulk Trader,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=122&p_search_id=211217142103,Panama,20 June 2009,3 December 2009,Istanbul,ITF,2009,2009
368,Busy Bee,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=345&p_search_id=211217142103,Belize,18 April 2018,26 April 2018,"Himeji, Japan",ITF,2018,2018
369,C Star,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=308&p_search_id=211217142103,Mongolia,26 September 2017,3 October 2017,"Barcelona, Spain",ITF,2017,2017
370,COOL ASTER,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=185&p_search_id=211217142103,Malta,9 August 2012,3 September 2012,Kaliningrad,ITF,2012,2012
371,Cap Thanos,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=158&p_search_id=211217142103,Marshall Islands,July 2010,July 2010,Psachna Chalkis,Govt. of Greece,2010,2010
372,Capbreton 1,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=18&p_search_id=211217142103,St. Vincent & Grenadines,20 January 2004,20 January 2004,Lagos (Nigeria),ITF,2004,2004
