,name,status,link,flag,abandon_date,notified_date,port,reported_by,abandon_year,notified_year
450,PEREKOPSKIY,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=68&p_search_id=211217142103,Ukraine,May 2008,2 June 2008,"La Plata, Argentina",ITF,2008,2008
451,Palanga Spirit,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=281&p_search_id=211217142103,St. Vincent & Grenadines,17 February 2017,24 April 2017,Las Palmas,ITF,2017,2017
452,Pegasus II,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=225&p_search_id=211217142103,Sierra Leone,21 March 2015,7 May 2015,"Suez port, Egypt",ITF,2015,2015
453,Perekopskiy,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=238&p_search_id=211217142103,Ukraine,4 February 2016,6 April 2016,La Plata -  Argentina,ITF,2016,2016
454,Phoenix Sun,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=212&p_search_id=211217142103,Panama,24 July 2014,23 October 2014,"Sorel, Quebec, Canada",ITF,2014,2014
455,Phuc Hai Sun,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=186&p_search_id=211217142103,Panama,3 January 2011,18 September 2012,"Lagos, Nigeria",ITF,2011,2012
456,Piruit,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=107&p_search_id=211217142103,Panama,May 2009,9 October 2009,"Cristobal(Colon), Panama",ITF,2009,2009
457,Polestar,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=294&p_search_id=211217142103,Panama,6 July 2017,6 July 2017,"Zhenjiang anchorage, China",ITF,2017,2017
458,Pomor Trader,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=316&p_search_id=211217142103,St. Kitts & Nevis,10 November 2017,10 November 2017,Rotterdam,ITF,2017,2017
459,Rayben Star,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=205&p_search_id=211217142103,Panama,30 July 2013,,Chioggia / Italy,ITF,2013,
460,Reefer III,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=58&p_search_id=211217142103,Sierra Leone,5 September 2007,,Manzanillo/Coco Solo (Panama),ITF,2007,
461,Reggae,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=293&p_search_id=211217142103,Panama,26 June 2017,27 June 2017,"Inverkeithing, Scotland",ITF,2017,2017
462,Remora I,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=75&p_search_id=211217142103,Panama,26 February 2009,26 February 2009,Dakhla,ITF,2009,2009
463,Rhino,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=127&p_search_id=211217142103,St. Vincent & Grenadines,17 September 2009,21 September 2009,Haifa,ITF,2009,2009
464,Roksolana 1,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=206&p_search_id=211217142103,Belize,20 November 2013,29 November 2013,Poti / Georgia,ITF,2013,2013
465,Rosethorn,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=83&p_search_id=211217142103,St. Vincent & Grenadines,5 January 2009,January 2009,Brunsbuttel,ITF,2009,2009
466,SHUN,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=246&p_search_id=211217142103,Sierra Leone,4 July 2016,August 2016,"At Nam Trieu Shipbuilding Co. Hai Phong, Vietnam",ITF,2016,2016
467,SL Star,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=250&p_search_id=211217142103,Panama,19 September 2016,19 September 2016,Sharjah anchorage,ITF,2016,2016
468,SS Veles,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=194&p_search_id=211217142103,Tuvalu,17 March 2013,24 March 2013,"Rio Tuba, Palawan, Philippines",ITF,2013,2013
469,STM Taurus,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=8&p_search_id=211217142103,Netherlands,19 July 2004,4 August 2004,Abidjan (Côte d'Ivoire),ITF,2004,2004
470,Sara Express,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=260&p_search_id=211217142103,Panama,6 January 2017,6 January 2017,Haiti-miragoane,ITF,2017,2017
471,Sarem,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=356&p_search_id=211217142103,St. Vincent & Grenadines,10 August 2018,10 August 2018,"Hamriyah, UAE",ITF,2018,2018
472,Sea Honest,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=253&p_search_id=211217142103,Panama,June 2016,2 November 2016,"Algiers, Algeria",ITF,2016,2016
473,Sea Safe,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=303&p_search_id=211217142103,Panama,28 August 2017,28 August 2017,"Hamriyah Oil Terminal, UAE",ITF,2017,2017
474,Sea,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=52&p_search_id=211217142103,Panama,1 May 2007,10 May 2007,San Pedro de Macoris (Dominican Republic),ITF,2007,2007
475,Seabreeze I,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=327&p_search_id=211217142103,Palau,28 July 2017,,"Danube River, Galati, Romania",ITF,2017,
476,Seccadi,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=291&p_search_id=211217142103,Panama,21 June 2017,22 June 2017,"Runcorn, UK",ITF,2017,2017
477,Shamrock,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=27&p_search_id=211217142103,France,20 July 2004,20 July 2004,Portland (USA),Govt. of France,2004,2004
478,Shashvadhaa 1,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=226&p_search_id=211217142103,Malaysia,6 May 2015,9 May 2015,"Kota Kinabalu, Indonesia",ITF,2015,2015
479,Shatirobo,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=95&p_search_id=211217142103,Cambodia,26 February 2009,3 August 2009,"Pusan, Korea",ITF,2009,2009
480,Silva,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=19&p_search_id=211217142103,Cambodia,26 February 2004,26 February 2004,Esbjerg (Denmark) ,ITF,2004,2004
481,Silver Island,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=242&p_search_id=211217142103,Panama,10 August 2016,11 August 2016,Sharjah Hamriya Port (UAE) off 12 nautical mile in anchorage,ITF,2016,2016
482,Silver Star,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=45&p_search_id=211217142103,Panama,April 2006,30 January 2006,"Port Fourchon, USA",ITF,2006,2006
483,Southern Pearl NZ,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=106&p_search_id=211217142103,Panama,July 2009,9 October 2009,"Bourgas, Bulgaria",ITF,2009,2009
484,Sphere,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=125&p_search_id=211217142103,Panama,24 September 2009,3 December 2009,Istanbul,ITF,2009,2009
485,Spicagas,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=140&p_search_id=211217142103,Liberia,September 2009,14 December 2009,Piraeus,Govt. of Greece,2009,2009
486,Spirit II,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=11&p_search_id=211217142103,Honduras,23 June 2004,2 September 2004,Naples (Italy),ITF,2004,2004
487,Stalingrad,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=74&p_search_id=211217142103,Russia,31 January 2009,31 January 2009,"Liverpool, United Kingdom",ITF,2009,2009
488,Star of Sea,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=302&p_search_id=211217142103,Panama,12 September 2017,12 September 2017,"Aliaga, Turkey",ITF,2017,2017
489,Steamline,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=201&p_search_id=211217142103,Comoros,3 October 2013,1 November 2013,Ancona / Italy,ITF,2013,2013
490,Stella Maris,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=157&p_search_id=211217142103,Antigua & Barbuda,1 March 2010,13 September 2010,Miami,ITF,2010,2010
491,Symphony 1,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=72&p_search_id=211217142103,Liberia,15 November 2008,26 November 2008,"La Plata, Argentina",ITF,2008,2008
492,Taelim Jasmine,fishing vessel,seafarersbrowse.details?p_lang=en&p_abandonment_id=63&p_search_id=211217142103,"Korea, Republic of",20 November 2007,,Shimonoseki (Japan),ITF,2007,
493,Taelim Lotus,fishing vessel,seafarersbrowse.details?p_lang=en&p_abandonment_id=61&p_search_id=211217142103,"Korea, Republic of",20 November 2007,,Shimonoseki (Japan),ITF,2007,
494,Taelim Orchid,fishing vessel,seafarersbrowse.details?p_lang=en&p_abandonment_id=62&p_search_id=211217142103,"Korea, Republic of",20 November 2007,,Shimonoseki (Japan),ITF,2007,
495,Tahsin,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=292&p_search_id=211217142103,Panama,4 June 2017,13 July 2017,"Sharpness, UK",ITF,2017,2017
496,Tahya Misr 1,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=375&p_search_id=211217142103,Panama,5 November 2018,12 December 2018,Singapore,ITF,2018,2018
497,Tan Trader,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=99&p_search_id=211217142103,Malta,5 March 2009,17 February 2009,"Genoa, Italy",ITF,2009,2009
498,Titan Glory,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=216&p_search_id=211217142103,Singapore,12 November 2014,9 January 2015,"Batam, Indonesia",ITF,2014,2015
499,Titan vision,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=217&p_search_id=211217142103,Singapore,25 December 2014,9 January 2015,"Karaika, India",ITF,2014,2015
500,Tor Atlantic,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=134&p_search_id=211217142103,Panama,September 2009,9 December 2009,"La Plata, Argentina",ITF,2009,2009
501,Triumph,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=337&p_search_id=211217142103,Marshall Islands,7 March 2018,15 March 2018,"Ensenada, Mexico",ITF,2018,2018
502,Tuborg,fishing vessel,seafarersbrowse.details?p_lang=en&p_abandonment_id=96&p_search_id=211217142103,Sierra Leone,10 November 2008,3 July 2009,"Pusan, Korea",ITF,2008,2009
503,Turu,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=314&p_search_id=211217142103,Panama,9 November 2017,14 November 2017,o/s Maltese territorial waters,ITF,2017,2017
504,Union Demeter,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=262&p_search_id=211217142103,St. Vincent & Grenadines,23 January 2017,6 February 2017,"Haldia, India",ITF,2017,2017
505,Valor,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=306&p_search_id=211217142103,Panama,,,"Lagos, Nigeria",Govt. of Pakistan,,
506,Vassi,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=138&p_search_id=211217142103,St. Vincent & Grenadines,27 November 2009,27 November 2009,Vatika Bay,Govt. of Greece,2009,2009
507,Vinashin Atlantic,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=80&p_search_id=211217142103,Panama,18 June 2009,13 July 2009,"Vung Tau Anchorage, Vietnam",ITF,2009,2009
508,Virtus,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=86&p_search_id=211217142103,St. Vincent & Grenadines,7 July 2009,24 June 2009,"La Coruna, Spain",ITF,2009,2009
509,WANDA,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=102&p_search_id=211217142103,Antigua & Barbuda,29 July 2009,14 August 2009,"TALLINN, ESTONIA",ITF,2009,2009
510,Westwind II,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=178&p_search_id=211217142103,Panama,19 January 2012,6 February 2012,"Portland Dorset, U.K",ITF,2012,2012
511,Widad 2,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=59&p_search_id=211217142103,Mauritania,27 October 2007,,Huelva (Spain),ITF,2007,
512,Widad 3,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=60&p_search_id=211217142103,Mauritania,27 October 2007,,Huelva (Spain),ITF,2007,
513,Xin Yu No.1,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=359&p_search_id=211217142103,People's Republic of China,20 August 2018,29 August 2018,operating in the Bering Sea and remains at sea,ITF,2018,2018
514,Yang Xho,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=7&p_search_id=211217142103,Bolivia,23 June 2004,14 September 2004,Otaru (Japan),ITF,2004,2004
515,Yilmaz Ayanoglu,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=229&p_search_id=211217142103,Turkey,7 June 2015,16 July 2015,"Dakar, Senegal",ITF,2015,2015
516,Yong Win 18,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=247&p_search_id=211217142103,,2 June 2016,August 2016,"At Nam Trieu Shipbuilding Co. Hai Phong, Vietnam",ITF,2016,2016
517,Zapolyarye,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=355&p_search_id=211217142103,Russia,22 July 2018,27 August 2018,Anchorage in Ceuta ( SPAIN),ITF,2018,2018
518,Zurbagans,fishing vessel,seafarersbrowse.details?p_lang=en&p_abandonment_id=21&p_search_id=211217142103,Latvia,12 June 2004,12 June 2004,Boulogne/Mer (France),Govt. of France,2004,2004
519,AMAL 7,Inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=255&p_search_id=211217142103,Panama,12 December 2016,12 December 2016,Bandar Abbass Anchorage,ITF,2016,2016
520,Abou Karim II,Inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=310&p_search_id=211217142103,Lebanon,17 October 2017,17 October 2017,Cape Verde,ITF,2017,2017
521,Abu Abdullah I,Inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=34&p_search_id=211217142103,Comoros,18 January 2006,27 January 2006,Suez Canal,ITF,2006,2006
522,Ace 1,Inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=66&p_search_id=211217142103,St. Vincent & Grenadines,9 March 2008,6 May 2008,"Montelimar, France",ITF,2008,2008
523,Aetea Sierra,Inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=175&p_search_id=211217142103,Panama,June 2011,,Piraeus,Govt. of Greece,2011,
524,Aetea Sierra,Inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=53&p_search_id=211217142103,Cayman Islands,28 June 2007,4 July 2007,Algiers (Algeria),ITF,2007,2007
525,Akai,Inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=167&p_search_id=211217142103,Antigua & Barbuda,17 March 2011,11 May 2011,"Hydrodinamik, Shipyard / Turkey",ITF,2011,2011
526,Alkistis,Inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=104&p_search_id=211217142103,Marshall Islands,25 August 2009,4 September 2009,"Abidjan, Ivory Coast",ITF,2009,2009
527,Alma,Inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=168&p_search_id=211217142103,Antigua & Barbuda,17 March 2011,11 May 2011,"Bilbao, Spain",ITF,2011,2011
528,Argo,Inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=169&p_search_id=211217142103,Antigua & Barbuda,17 March 2011,11 May 2011,"Riga, Latvia",ITF,2011,2011
529,Artemida,Inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=144&p_search_id=211217142103,Russia,5 April 2010,April 2010,"Kerch, Ukraine",ITF,2010,2010
530,Atlantic Star,Inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=108&p_search_id=211217142103,Belize,27 September 2009,2 October 2009,Las Palmas(Spain),ITF,2009,2009
531,BARIKA,Inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=188&p_search_id=211217142103,Togo,5 November 2012,14 November 2012,"Burgas, BULGARIA",ITF,2012,2012
532,Capadocia,Inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=120&p_search_id=211217142103,Moldova,25 August 2009,30 November 2009,Istanbul,ITF,2009,2009
533,Capt Hermon H,Inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=54&p_search_id=211217142103,Nicaragua,5 March 2007,,Puerto Cabello (Venezuela),ITF,2007,
534,Caribbean carrier,Inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=142&p_search_id=211217142103,Panama,14 June 2010,14 June 2010,"Mayaguez, Puerto Rico",Non-governmental Organization,2010,2010
535,China Sea Discovery,Inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=12&p_search_id=211217142103,Liberia,August 2004,August 2004,Kaohsiung (Taiwan (China)),ITF,2004,2004
536,Cosette,Inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=152&p_search_id=211217142103,Bolivia,1 April 2010,,Fort de France,Govt. of France,2010,
537,Craig Trans,Inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=190&p_search_id=211217142103,Bolivia,19 December 2012,8 January 2013,"Halifax, Canada",ITF,2012,2013
538,DIAS,Inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=231&p_search_id=211217142103,Togo,11 October 2015,,"Cotonou anchorage, Republic of Benin",ITF,2015,
539,Ecstacy,Inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=109&p_search_id=211217142103,Panama,5 November 2009,5 November 2009,"Alicante, Spain",ITF,2009,2009
540,Egehan,Inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=110&p_search_id=211217142103,Panama,5 November 2009,5 November 2009,"Alicante, Spain",ITF,2009,2009
541,Essco Bounty,Inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=44&p_search_id=211217142103,Panama,4 August 2006,4 August 2006,"Tema, Ghana",ITF,2006,2006
542,Fair One,Inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=111&p_search_id=211217142103,Dominica,14 January 2009,,Gdynia,ITF,2009,
543,Falak G,Inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=43&p_search_id=211217142103,Slovakia,23 February 2006,1 March 2006,"Rijeka, Croatia",ITF,2006,2006
544,Fiemme,Inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=93&p_search_id=211217142103,Panama,November 2008,3 August 2009,"Callao, Peru",ITF,2008,2009
545,Fiesta Casino,Inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=51&p_search_id=211217142103,Belize,16 February 2007,26 April 2007,Vera Cruz (Mexico),ITF,2007,2007
546,Fortes,Inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=91&p_search_id=211217142103,St. Vincent & Grenadines,May 2009,24 July 2009,"Menzel Bourguiba, Tunisia",ITF,2009,2009
547,Frenaso,Inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=37&p_search_id=211217142103,Panama,26 September 2005,10 November 2005,"Dakar, Senegal",ITF,2005,2005
548,Funky,Inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=76&p_search_id=211217142103,Liberia,17 February 2009,19 February 2009,"Santo Domingo, Dominican Republic",ITF,2009,2009
549,Golf,Inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=170&p_search_id=211217142103,Estonia,17 March 2011,11 May 2011,"Bilbao, Spain",ITF,2011,2011
550,Grenland,Inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=42&p_search_id=211217142103,Dominica,25 February 2006,8 March 2006,"Aviles, Spain",ITF,2006,2006
551,HOA SEN,Inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=193&p_search_id=211217142103,Vietnam,20 September 2012,10 May 2013,Xinay shipyard / China,ITF,2012,2013
552,Halani 1,Inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=341&p_search_id=211217142103,St. Vincent & Grenadines,30 April 2018,27 May 2018,"Walvis Bay anchorage area, Namibia",ITF,2018,2018
553,Ilona 1,Inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=220&p_search_id=211217142103,Panama,23 February 2015,18 March 2015,"8 miles offshore from Takoradi, Ghana",ITF,2015,2015
554,Irian Jaya,Inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=177&p_search_id=211217142103,Indonesia,8 October 2011,20 October 2011,"Karaikal, India",ITF,2011,2011
555,Kartal CK,Inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=124&p_search_id=211217142103,Turkey,17 August 2009,,Istanbul,ITF,2009,
556,Katina,Inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=195&p_search_id=211217142103,St. Vincent & Grenadines,12 January 2012,29 May 2013,"Hodeidah, Yemen",ITF,2012,2013
557,Kenza,Inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=202&p_search_id=211217142103,Morocco,5 May 2013,1 November 2013,Cagliary / Italy,ITF,2013,2013
558,Lucky Trader,Inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=118&p_search_id=211217142103,Comoros,8 January 2009,30 November 2009,Samsun,ITF,2009,2009
559,Majed,Inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=65&p_search_id=211217142103,St. Vincent & Grenadines,25 March 2008,27 March 2008,Bhashair Oil Terminal,ITF,2008,2008
560,Maurits Tuna,Inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=153&p_search_id=211217142103,Mauritius,21 September 2009,25 April 2010,"Port Louise, Mauritius",Other,2009,2010
561,Maznah,Inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=39&p_search_id=211217142103,Indonesia,10 August 2005,19 August 2005,"Tawau, Malaysia",ITF,2005,2005
562,Oceanic Power,Inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=179&p_search_id=211217142103,Comoros,9 January 2012,10 January 2012,"Kingston, Jamaica",Govt. of Jamaica,2012,2012
563,Oriental,Inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=92&p_search_id=211217142103,Panama,5 May 2009,3 August 2009,"Pyeongtaek, Korea",ITF,2009,2009
564,Oriental Bridge,Inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=191&p_search_id=211217142103,St. Vincent & Grenadines,10 September 2012,1 March 2013,"Abidjan, Cote d'Ivoire",ITF,2012,2013
565,Oriental Queen 6,Inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=189&p_search_id=211217142103,St. Vincent & Grenadines,23 November 2012,17 January 2013,"Fujairah, United Arab Emirates",ITF,2012,2013
566,Prince,Inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=101&p_search_id=211217142103,Sierra Leone,18 August 2009,18 August 2009,"Anchorage outside Dubai, UAE",ITF,2009,2009
567,Sea Duende,Inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=132&p_search_id=211217142103,Panama,17 October 2009,7 January 2010,"Volos, Greece",Govt. of Greece,2009,2010
568,TUMINI,Inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=211&p_search_id=211217142103,Nigeria,20 October 2013,7 October 2014,"Claxton Bay, Trinidad and Tobago",ITF,2013,2014
569,Vahhab,Inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=126&p_search_id=211217142103,Panama,13 September 2009,3 December 2009,Istanbul,ITF,2009,2009
570,Vasilios N,Inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=173&p_search_id=211217142103,Georgia,14 February 2011,14 February 2011,"Misurata, Libya",ITF,2011,2011
571,Vinashin 5,Inactive,seafarersbrowse.details?p_lang=en&p_abandonment_id=79&p_search_id=211217142103,Mongolia,4 June 2009,12 June 2009,"Guayaquil, Ecuador",ITF,2009,2009
